,Level,Node,Selected features
118,Subclass,Organic phosphonic acids and derivatives,"C, O, P, N, S, Na, Ca, Cl, F, Br, Tc, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, O/C, H/C, P/C, N/P"
119,Subclass,Organic phosphoric acids and derivatives,"C, O, P, N, S, Si, Cl, F, Br, Charge, Halogens, O/C, H/C, P/C, N/P"
120,Subclass,Organic sulfuric acids and derivatives,"C, O, N, S, K, Na, Cl, Br, Halogens, All Metals, Alkaline Metals, O/C, H/C"
121,Subclass,Organometalloid compounds,"C, O, N, Na, Si, As, Cl, F, Se, Charge, Halogens, All Metals, Alkaline Metals, O/C, H/C"
122,Subclass,Organonitrogen compounds,"C, O, P, N, S, K, Na, B, Cu, Ni, Pt, Cl, I, F, Br, Se, Charge, Halogens, All Metals, Alkaline Metals, Transition Metals, O/C, H/C, P/C, N/P"
123,Subclass,Organooxygen compounds,"C, O, P, N, S, Na, Ca, Si, As, B, Al, Cr, Co, Fe, Ti, Cl, I, F, Br, Se, Sn, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
124,Subclass,Other non-metal organides,"C, O, P, N, S, Se, Charge, O/C, H/C, N/P"
125,Subclass,Peptidomimetics,"C, O, P, N, S, Fe, Zn, Cl, I, F, Br, Charge, Halogens, All Metals, Transition Metals, O/C, H/C, P/C, N/P"
126,Subclass,Phenanthrenes and derivatives,"C, O, N, S, Cl, F, Br, Halogens, O/C, H/C"
127,Subclass,Phenol ethers,"C, O, P, N, S, Si, B, Cl, I, F, Br, Sn, Charge, Halogens, All Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
128,Subclass,Phenols,"C, O, N, S, K, As, Cl, I, F, Br, Charge, Halogens, All Metals, Alkaline Metals, O/C, H/C"
129,Subclass,Piperidines,"C, O, P, N, S, Cl, I, F, Br, Charge, Halogens, O/C, H/C, P/C, N/P"
130,Subclass,Post-transition metal salts,"H, O, P, Na, Al, Bi, Cl, F, Br, Sn, Tl, Charge, Halogens, All Metals, Alkaline Metals, Post Transition Metals"
131,Subclass,Prenol lipids,"C, O, P, N, S, K, Na, Ca, Te, As, Co, Cl, F, Br, U, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Actinoids, O/C, H/C, P/C, N/P"
132,Subclass,Pteridines and derivatives,"C, O, P, N, S, Na, Ca, Mg, Mo, W, Cl, F, Br, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, O/C, H/C, P/C, N/P"
133,Subclass,Purine nucleosides,"C, O, P, N, S, Si, Cl, I, F, Br, Charge, Halogens, O/C, H/C, P/C, N/P"
134,Subclass,Purine nucleotides,"C, O, P, N, S, Na, Mg, V, Pt, Cl, I, F, Br, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, O/C, H/C, P/C, N/P"
135,Subclass,Pyrans,"C, O, P, N, S, Fe, Cl, F, Halogens, All Metals, Transition Metals, O/C, H/C, P/C, N/P"
136,Subclass,Pyrazolopyrimidines,"C, O, P, N, S, Cl, F, Br, Halogens, O/C, H/C, P/C, N/P"
137,Subclass,Pyrenes,"C, O, N, S, Na, I, Halogens, All Metals, Alkaline Metals, O/C, H/C"
138,Subclass,Pyridines and derivatives,"C, O, P, N, S, Na, Ca, Al, Cr, Fe, Mo, Ni, Ag, Ru, Zn, Os, Cl, I, F, Br, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
139,Subclass,Pyridopyrimidines,"C, O, N, S, Cl, I, F, Br, Charge, Halogens, O/C, H/C"
140,Subclass,Pyrimidine nucleosides,"C, O, P, N, S, Cl, I, F, Br, Halogens, O/C, H/C, P/C, N/P"
141,Subclass,Pyrimidine nucleotides,"C, O, P, N, S, Na, Mo, I, F, Br, Charge, Halogens, All Metals, Alkaline Metals, Transition Metals, O/C, H/C, P/C, N/P"
142,Subclass,Pyrroles,"C, O, P, N, S, Na, Ca, B, Cl, F, Br, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, O/C, H/C, P/C, N/P"
143,Subclass,Pyrrolidines,"C, O, P, N, S, Si, Cl, I, F, Br, Charge, Halogens, O/C, H/C, P/C, N/P"
144,Subclass,Pyrrolines,"C, O, N, S, Cl, F, Br, Charge, Halogens, O/C, H/C"
145,Subclass,Pyrrolopyrimidines,"C, O, P, N, S, Cl, F, Charge, Halogens, O/C, H/C, P/C, N/P"
146,Subclass,Quinolines and derivatives,"C, O, P, N, S, Na, Cu, Ru, Cl, I, F, Br, Charge, Halogens, All Metals, Alkaline Metals, Transition Metals, O/C, H/C, P/C, N/P"
147,Subclass,Saccharolipids,"C, O, P, N, S, O/C, H/C, P/C, N/P"
148,Subclass,Saturated hydrocarbons,"C, H/C"
149,Subclass,Sphingolipids,"C, O, P, N, S, Cl, F, Charge, Halogens, O/C, H/C, P/C, N/P"
150,Subclass,Steroids and steroid derivatives,"C, O, P, N, S, Na, Si, B, Cl, I, F, Br, Se, Charge, Halogens, All Metals, Alkaline Metals, O/C, H/C, P/C, N/P"
151,Subclass,Stilbenes,"C, O, P, N, S, Na, Cl, I, F, Br, Charge, Halogens, All Metals, Alkaline Metals, O/C, H/C, P/C, N/P"
152,Subclass,Tannins,"C, O, N, S, Charge, O/C, H/C"
153,Subclass,Tetrahydroisoquinolines,"C, O, N, S, Cl, F, Br, Charge, Halogens, O/C, H/C"
154,Subclass,Tetrapyrroles and derivatives,"C, O, P, N, S, Mg, B, Co, Cu, Fe, Ni, Pd, Pt, Zn, Cl, F, Br, Charge, Halogens, All Metals, Alkaline Earth Metals, Transition Metals, O/C, H/C, P/C, N/P"
155,Subclass,Thioethers,"C, O, P, N, S, Cl, I, F, Br, Halogens, O/C, H/C, P/C, N/P"
156,Subclass,Thiophenes,"C, O, N, S, Cl, F, Br, Charge, Halogens, O/C, H/C"
157,Subclass,Transition metal organides,"C, O, N, S, Na, Cr, Co, Cu, Fe, Mo, Ti, W, Ni, V, Ag, Hg, Cd, Au, Ta, Nb, Os, Tc, Charge, All Metals, Alkaline Metals, Transition Metals, O/C, H/C"
158,Subclass,Transition metal oxoanionic compounds,"H, O, N, S, Cr, Co, Cu, Fe, Mn, W, Ni, V, Cd, Au, Pt, Zn, All Metals, Transition Metals"
159,Subclass,Transition metal salts,"C, O, P, N, S, K, Na, Rb, Cs, Sb, Cr, Co, Cu, Fe, Mo, Mn, Zr, W, Ni, Ag, Hg, Cd, Au, Y, Ru, Pd, Pt, Zn, Ir, Cl, F, Br, Se, Xe, Rh, Charge, Halogens, All Metals, Alkaline Metals, Transition Metals, H/C"
160,Subclass,Triazines,"C, O, P, N, S, K, Cl, F, Halogens, All Metals, Alkaline Metals, O/C, H/C, P/C, N/P"
161,Subclass,Tropane alkaloids,"C, O, P, N, Cl, I, F, Br, Charge, Halogens, O/C, H/C, P/C, N/P"
162,Subclass,Tropones,"C, O, N, O/C, H/C"
163,Subclass,Unsaturated hydrocarbons,"C, H/C"
164,Subclass,Vinyl halides,"C, O, N, Li, Cl, F, Br, Halogens, All Metals, Alkaline Metals, O/C, H/C"
