,Level,Node,Selected features
10,Superclass (binary classifiers),Benzenoids,"C, O, P, N, S, K, Na, Li, Ca, Mg, Ba, Eu, Te, Si, As, B, Sb, Al, Bi, Cr, Co, Cu, Fe, Mo, Ni, Hg, Ru, Pt, Zn, Cl, I, F, Br, Se, Sn, Pb, Rh, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Lanthanoids, O/C, H/C, P/C, N/P"
11,Superclass (binary classifiers),Hydrocarbon derivatives,"C, O, P, N, S, K, Na, Li, Ca, Mg, Si, As, B, Sb, Al, Bi, Cr, Co, Cu, Fe, Mo, Mn, Zr, Ti, W, Ni, V, Ag, Hg, Au, Ru, Zn, Cl, I, F, Br, Se, Sn, Pb, Rh, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Actinoids, O/C, H/C, P/C, N/P"
12,Superclass (binary classifiers),Hydrocarbons,"C, O, P, N, S, K, Na, Li, Mg, Te, Si, As, B, Sb, Cr, Co, Cu, Fe, Mo, Zr, W, Ni, V, Hg, Zn, Cl, I, F, Br, Se, Sn, Pb, U, Rh, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Actinoids, O/C, H/C, P/C, N/P"
13,Superclass (binary classifiers),"Lignans, neolignans and related compounds","C, O, P, N, S, K, Na, Ca, Mg, Si, As, Ru, Cl, I, F, Br, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, O/C, H/C, P/C, N/P"
14,Superclass (binary classifiers),Lipids and lipid-like molecules,"C, O, P, N, S, K, Na, Ca, Mg, Si, As, B, Co, Fe, Mo, Hg, Au, Cl, I, F, Br, Se, Sn, Tc, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
15,Superclass (binary classifiers),"Nucleosides, nucleotides, and analogues","C, O, P, N, S, Na, Ca, Mg, Si, As, B, Al, Co, Fe, Mo, W, Ni, V, Pt, Cl, I, F, Br, Se, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
16,Superclass (binary classifiers),"Organic 1,3-dipolar compounds","C, O, P, N, S, K, Na, Mg, Te, Si, As, B, Cu, Fe, Mo, Mn, Ni, Ag, Hg, Pt, Cl, I, F, Br, Se, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
17,Superclass (binary classifiers),Organic Polymers,"C, O, P, N, S, Na, Al, Co, Cu, Fe, Pt, Cl, I, F, Br, Se, Charge, Halogens, All Metals, Alkaline Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
18,Superclass (binary classifiers),Organic acids and derivatives,"C, O, P, N, S, K, Na, Li, Ca, Mg, Gd, Pr, Te, Si, As, B, Ge, Sb, Al, Bi, Cr, Co, Cu, Fe, Mo, Mn, Zr, Ni, Hg, Au, Pt, Zn, Cl, I, F, Br, Se, Ga, Sn, Pb, Tc, Rh, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Lanthanoids, O/C, H/C, P/C, N/P"
19,Superclass (binary classifiers),Organic compounds - Unspecified,"C, O, P, N, S, K, Na, Li, Ca, Mg, Te, Si, As, B, Sb, Al, Bi, Co, Cu, Fe, Mo, W, Ni, Hg, Pt, Zn, Cl, I, F, Br, Se, U, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
20,Superclass (binary classifiers),Organic nitrogen compounds,"C, O, P, N, S, K, Na, Li, Ca, Mg, Te, Si, As, B, Sb, Co, Cu, Fe, Mo, Ti, Ni, Hg, Ru, Pt, Zn, Cl, I, F, Br, Se, Sn, Pb, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
21,Superclass (binary classifiers),Organic oxygen compounds,"C, O, P, N, S, K, Na, Li, Ca, Mg, Gd, Te, Si, As, B, Ge, Sb, Al, Cr, Co, Cu, Fe, Mo, Ti, Ni, Hg, Pt, Zn, Cl, I, F, Br, Se, Sn, Pb, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Lanthanoids, O/C, H/C, P/C, N/P"
22,Superclass (binary classifiers),Organic salts,"C, O, P, N, S, K, Na, Li, Ca, Mg, Te, Si, As, B, Bi, Cr, Co, Cu, Fe, Mo, Mn, W, Ni, V, Ag, Hg, Au, Ru, Pt, Zn, Cl, I, F, Br, Se, Sn, Pb, Rh, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Actinoids, O/C, H/C, P/C, N/P"
23,Superclass (binary classifiers),Organohalogen compounds,"C, O, P, N, S, K, Na, Li, Ca, Mg, Te, Si, As, B, Bi, Fe, Mo, W, Ni, Hg, Au, Zn, Cl, I, F, Br, Se, Sn, Rh, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
24,Superclass (binary classifiers),Organoheterocyclic compounds,"C, O, P, N, S, K, Na, Li, Ca, Mg, Te, Si, As, B, Al, Cr, Co, Cu, Fe, Mo, Ti, W, Ni, V, Hg, Ru, Pt, Re, Zn, Cl, I, F, Br, Se, Sn, U, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Actinoids, O/C, H/C, P/C, N/P"
25,Superclass (binary classifiers),Organometallic compounds,"C, O, P, N, S, K, Na, Li, Mg, Te, Si, As, B, Sb, Al, Bi, Cu, Fe, Mo, Ti, W, Ni, Hg, Au, Ru, Pt, Zn, Cl, I, F, Br, Se, Ga, Sn, Pb, Tc, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
26,Superclass (binary classifiers),Organophosphorus compounds,"C, O, P, N, S, Na, Ca, Te, Si, As, Ni, Hg, Zn, Cl, I, F, Br, Se, Sn, Pb, Tc, Rh, Charge, Halogens, All Metals, Alkaline Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
27,Superclass (binary classifiers),Organosulfur compounds,"C, O, P, N, S, K, Na, Li, Te, Si, As, B, Bi, Fe, Mo, Mn, Ni, Ag, Hg, Au, Pt, Zn, Cl, I, F, Br, Se, Sn, Pb, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Actinoids, O/C, H/C, P/C, N/P"
28,Superclass (binary classifiers),Phenylpropanoids and polyketides,"C, O, P, N, S, K, Na, Ca, Mg, Si, As, B, Sb, Al, Bi, Co, Fe, Cl, I, F, Br, Se, Sn, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, O/C, H/C, P/C, N/P"
29,Class,Alkaloids and derivatives,"C, O, P, N, S, Si, Cl, I, F, Br, Charge, Halogens, O/C, H/C, P/C, N/P"
30,Class,Benzenoids,"C, O, P, N, S, K, Na, Li, Ca, Mg, Ba, Eu, Si, As, B, Sb, Al, Bi, Cu, Fe, Hg, Cl, I, F, Br, Sn, Rh, Charge, Halogens, All Metals, Alkaline Metals, Alkaline Earth Metals, Transition Metals, Post Transition Metals, Lanthanoids, O/C, H/C, P/C, N/P"
